titulaire-sexe,Discours institutionnel et valeurs républicaines,"Ruralité, agriculture et développement territorial",Mobilisation électorale communiste,Immigration et fiscalité,"Action locale, solidarité et politiques territoriales","Protection animale, nature et anti-chasse",Écologie politique (Verts / GE),Rapports sociaux et critique du patronat,Services publics et monde ouvrier,Parti de la Loi Naturelle (maharishi védique)
femme,0.22327044025157233,0.12578616352201258,0.16037735849056603,0.10849056603773585,0.11477987421383648,0.06918238993710692,0.10220125786163523,0.02358490566037736,0.036163522012578615,0.036163522012578615
homme,0.36008137432188064,0.20230560578661844,0.11392405063291139,0.11573236889692586,0.09018987341772151,0.005877034358047016,0.07414104882459313,0.0061030741410488245,0.015144665461121157,0.016500904159132006
non déterminé,0.001567398119122257,0.003134796238244514,0.001567398119122257,0.004702194357366771,0.001567398119122257,0.6206896551724138,0.0,0.30250783699059564,0.06426332288401254,0.0
