id,titulaire-sexe,titulaire-soutien-simplifie,n_sentences,mean_sent_len,std_sent_len,mean_word_len,pron_1sg_rate,pron_1pl_rate,modal_rate,adj_rate,flesch_fr,msttr
EL189_L_1993_03_001_01_1_PF_01,homme,Front national,10,64.7,145.26186698511071,5.352395672333849,0.3091190108191654,1.0819165378670788,0.46367851622874806,12.673879443585781,-21.682555641421942,0.8833333333333333
EL189_L_1993_03_001_01_1_PF_02,homme,PCF,8,155.875,401.82814656890326,4.8187650360866074,0.0,1.7642341619887731,1.1226944667201284,10.505212510024057,-102.24953237770649,0.8859999999999999
EL189_L_1993_03_001_01_1_PF_03,homme,Droite parlementaire (RPR/UDF),4,196.0,223.46476232283246,4.660714285714286,0.0,3.316326530612245,2.295918367346939,7.015306122448979,-139.23387755102038,0.8049999999999999
EL189_L_1993_03_001_01_1_PF_04,homme,Extrême gauche,2,648.0,644.0,4.54320987654321,0.0,3.7808641975308643,2.006172839506173,5.864197530864197,-592.1274074074073,0.8125
EL189_L_1993_03_001_01_1_PF_05,homme,Écologistes,15,30.133333333333333,64.73522139368096,5.039823008849558,0.0,0.8849557522123894,1.1061946902654867,11.946902654867257,17.16510914454281,0.865
EL189_L_1993_03_001_01_1_PF_06,homme,Extrême gauche,6,162.0,330.141888688283,4.94238683127572,0.0,0.6172839506172839,1.02880658436214,10.596707818930042,-112.4291769547325,0.915
EL189_L_1993_03_001_01_1_PF_07,homme,Autres,54,15.314814814814815,55.17004825959195,5.700120918984281,1.3301088270858523,0.12091898428053204,0.48367593712212814,13.180169286577993,17.289562116530078,0.776
EL189_L_1993_03_001_01_1_PF_08,femme,Écologistes,2,121.0,119.0,5.487603305785124,0.4132231404958678,0.8264462809917356,0.8264462809917356,11.983471074380166,-84.0001239669421,0.91
EL189_L_1993_03_001_02_1_PF_01,homme,Front national,11,59.18181818181818,138.3242686797408,5.301075268817204,0.30721966205837176,1.0752688172043012,0.4608294930875576,13.056835637480798,-14.514706744867993,0.88
EL189_L_1993_03_001_02_1_PF_02,homme,PCF,7,139.42857142857142,275.89276236706644,4.771516393442623,0.0,1.5368852459016393,0.6147540983606558,9.938524590163935,-87.52655737704913,0.865
EL189_L_1993_03_001_02_1_PF_03,homme,Non mentionné,9,62.888888888888886,150.30076842003942,5.1113074204946995,1.2367491166077738,1.9434628975265018,1.5901060070671376,9.540636042402827,-10.794059678052605,0.865
EL189_L_1993_03_001_02_1_PF_04,homme,Écologistes,8,64.5,151.91280393699537,5.079457364341085,0.3875968992248062,0.7751937984496124,0.5813953488372093,12.790697674418606,-17.506259689922416,0.895
EL189_L_1993_03_001_02_1_PF_05,femme,Non mentionné,3,145.66666666666666,196.8456812384316,4.814645308924485,2.059496567505721,2.2883295194508007,0.6864988558352403,9.839816933638444,-92.2621929824561,0.94
EL189_L_1993_03_001_03_1_PF_01,homme,Front national,5,129.8,185.4275060502082,5.351309707241911,0.30816640986132515,1.078582434514638,0.46224961479198773,13.251155624036981,-87.71032819722649,0.8833333333333333
EL189_L_1993_03_001_03_1_PF_02,homme,PCF,8,167.625,237.43364204551975,4.775540641312453,0.2982848620432513,0.8948545861297539,0.8948545861297539,9.246830723340791,-110.94310356077548,0.916
EL189_L_1993_03_001_03_1_PF_03,homme,Droite parlementaire (RPR/UDF),11,63.72727272727273,192.36097265727497,5.368045649072753,0.28530670470756064,1.1412268188302426,0.42796005706134094,12.268188302425106,-22.102012060692488,0.85
EL189_L_1993_03_001_03_1_PF_04,homme,Non mentionné,5,128.8,251.11224581847856,5.001552795031056,0.4658385093167702,2.018633540372671,1.2422360248447204,11.180124223602485,-78.2462857142857,0.87
EL189_L_1993_03_001_03_1_PF_05,homme,Écologistes,3,173.0,128.2211630998045,5.223506743737958,0.0,1.348747591522158,0.7707129094412332,10.597302504816955,-129.83430635838147,0.93
EL189_L_1993_03_001_03_1_PF_06,homme,Écologistes,2,121.5,119.5,5.465020576131687,0.411522633744856,0.823045267489712,0.823045267489712,11.522633744855968,-83.81550411522633,0.9
EL189_L_1993_03_001_04_1_PF_01,homme,Front national,7,95.28571428571429,166.27061787142952,5.326836581709146,0.29985007496251875,1.0494752623688157,0.4497751124437781,13.043478260869565,-52.80465517241379,0.8933333333333334
EL189_L_1993_03_001_04_1_PF_02,homme,PCF,4,241.75,280.71549209119183,4.916235780765254,0.4136504653567736,1.0341261633919339,1.4477766287487073,11.271975180972078,-190.59962125129263,0.905
EL189_L_1993_03_001_04_1_PF_03,homme,Droite parlementaire (RPR/UDF),8,60.5,118.36490189241066,4.853305785123967,1.2396694214876034,0.4132231404958678,0.8264462809917356,11.15702479338843,-8.146342975206608,0.9
EL189_L_1993_03_001_04_1_PF_04,homme,Non mentionné,10,90.9,143.2127438463491,4.888888888888889,0.11001100110011,2.9702970297029703,1.54015401540154,10.561056105610561,-39.750628712871276,0.8666666666666667
EL189_L_1993_03_001_04_1_PF_05,homme,Écologistes,8,61.875,94.04312508099675,5.014141414141414,0.20202020202020202,2.4242424242424243,1.8181818181818181,10.1010101010101,-16.087569444444426,0.88
EL189_L_1993_03_001_04_1_PF_06,femme,Écologistes,4,61.25,101.47998571146924,5.46530612244898,0.40816326530612246,0.8163265306122449,0.8163265306122449,11.020408163265307,-23.096913265306085,0.91
