id,famille_partisane,titulaire-sexe,lda_dominant_topic,lda_dominant_label,bertopic,bertopic_label,lda_topic_0,lda_topic_1,lda_topic_2,lda_topic_3,lda_topic_4,lda_topic_5,lda_topic_6,lda_topic_7,lda_topic_8,lda_topic_9,nmf_topic_0,nmf_topic_1,nmf_topic_2,nmf_topic_3,nmf_topic_4,nmf_topic_5,nmf_topic_6,nmf_topic_7,nmf_topic_8,nmf_topic_9
EL189_L_1993_03_001_01_1_PF_01,Front national,homme,1,"Programme de mesures : sécurité, famille, État",0,franais / rpr / udf,0.00016394097195371996,0.9729715741501519,0.00016394180123691755,0.02571680685450839,0.00016395581383407356,0.00016394168014282292,0.00016394269871554783,0.0001639446504695701,0.00016394105530878497,0.00016401032367826298,0.015727236190819758,0.6035690604387018,0.11916384524210064,0.0,0.0,0.0218811979218706,0.0,0.23352328038745826,0.0061353722165415426,0.0
EL189_L_1993_03_001_01_1_PF_02,PCF,homme,4,Écologie et environnement,0,franais / rpr / udf,0.00015176500123793824,0.00015176212568403626,0.005782594128808376,0.00015176553280125217,0.7766761133566382,0.00015177213903679556,0.00015178106101272745,0.006288118733520388,0.0001517633414791611,0.210342564579781,0.006811014684054161,0.0,0.04894356784163799,0.002464908238951555,0.016258720039643338,0.019276561157689612,0.8272935197991463,0.0269452519965282,0.05200645203546536,0.0
EL189_L_1993_03_001_01_1_PF_03,Droite parlementaire (RPR/UDF),homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.00029329194472202456,0.0002933326843219085,0.0051136509212896565,0.00029330389394068343,0.005831714497769768,0.0002932939478196863,0.00029330499425679336,0.0002933102271130302,0.0002933137247582349,0.9870014831640083,0.020501148187484407,0.022451724658369913,0.7666644947052423,0.05613741681668006,0.0,0.0,0.0,0.033774876715211725,0.023794779833118722,0.0766755464350709
EL189_L_1993_03_001_01_1_PF_04,Extrême gauche,homme,8,Positionnement gauche-droite et identité partisane,-1,bruit,0.00010834494170383472,0.00010834492000612486,0.00010834462341559508,0.00010834506045227389,0.00010834824091501579,0.00010834486277462021,0.00010834668468145754,0.00010834446088108988,0.9990248891523574,0.00010834705281257511,0.0,0.0,0.0,0.9999999963057806,0.0,0.0,0.0,0.0,0.0,0.0
EL189_L_1993_03_001_01_1_PF_05,Écologistes,homme,2,Immigration et réduction des impôts,1,cologie / entente / verts,0.00035217405492441025,0.000352168083565208,0.6132928917876541,0.000352147793205996,0.0003522162188640061,0.00035228406788264175,0.0003521461642885648,0.0003521539813469533,0.0003521629664415321,0.38388965488182647,0.009373165274706337,0.0,0.11296740500432934,0.01482173462282343,0.8269844042508256,0.003512392363248045,0.0,0.012880963698065816,0.0,0.019459928146569674
EL189_L_1993_03_001_01_1_PF_06,Extrême gauche,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0001541011481892473,0.00015410983764654356,0.00015410077054938873,0.0001540995759802722,0.035538284530748136,0.00015410183856833057,0.019541076554050515,0.00015409666902475709,0.0001540991672132992,0.9438419299080295,0.014319891093774037,0.0,0.2844829950631184,0.013995649529910819,0.016671808802312685,0.0,0.22173216283161215,0.012257334241662471,0.43654014993478957,0.0
EL189_L_1993_03_001_01_1_PF_07,Autres,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.00025977306443811644,0.0002597614881902247,0.0002597707109351209,0.0034623244511135763,0.0002597937741512281,0.004589266207603947,0.00025978247373082905,0.00025975636085748575,0.003628389852832772,0.9867613816161468,0.0,0.0,0.8664738594588056,0.0,0.0,0.0,0.0,0.0,0.0,0.13352610086554811
EL189_L_1993_03_001_01_1_PF_08,Écologistes,femme,0,Travail salarié et secteur public,-1,bruit,0.9961206382331212,0.00043103844662837503,0.0004310434825601211,0.0004310379015885674,0.0004310436589505572,0.000431038609785321,0.0004310387892303915,0.00043104062315712653,0.000431039062358334,0.000431041192619969,0.9995507539165619,0.0,0.0,0.0,0.0,0.0003587981479836812,0.0,0.0,0.0,9.044270552615098e-05
EL189_L_1993_03_001_02_1_PF_01,Front national,homme,1,"Programme de mesures : sécurité, famille, État",0,franais / rpr / udf,0.00016421001491310656,0.989731642395837,0.00016421114860576424,0.0001642470720787828,0.008954586659494092,0.00016421194652307654,0.0001642123956815516,0.0001642140746086954,0.00016421047189642507,0.00016425382036153332,0.01590804426859707,0.6029752531861552,0.12106944325183125,0.0,0.0,0.020599860597757196,0.0,0.23286956591942887,0.006577825191979491,0.0
EL189_L_1993_03_001_02_1_PF_02,PCF,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.00021980227677300442,0.0002198284015912223,0.00021984521747905056,0.00021983230519894014,0.47599381251562695,0.00021981098978588089,0.004459248160355494,0.0002198324823711827,0.00021985344122754386,0.5180081342095907,0.0,0.005460875109647158,0.24460407207531235,0.02279335038406924,0.032355986917391846,0.05052041152374423,0.5282567389817566,0.06351155313754135,0.052497004917894684,0.0
EL189_L_1993_03_001_02_1_PF_03,Non mentionné,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.00031950938281761777,0.0003195939553254573,0.00031955346879274815,0.06623860640268635,0.00031954801299100493,0.000319545664592563,0.004715254866449229,0.0003195375168713054,0.00031951135036495403,0.9268093393791087,0.0,0.17602346125663734,0.6745901154419397,0.0,0.0,0.11766316043647032,0.0,0.00653695600585903,0.02518629425022676,0.0
EL189_L_1993_03_001_02_1_PF_04,Écologistes,homme,9,"Nature, faune et chasse",1,cologie / entente / verts,0.014053942586654575,0.0003650499723580992,0.3108941643226975,0.00036503372492263615,0.0003650641897712778,0.011589500985617823,0.00036507577478123393,0.011430834260412743,0.0003650224114068246,0.6502063117713773,0.07979543840940839,0.0,0.301553407594726,0.00993482543975343,0.44204320986427675,0.028027649918959216,0.0,0.033282482694087935,0.086424327425694,0.018938649443553227
EL189_L_1993_03_001_02_1_PF_05,Non mentionné,femme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0005618526282797722,0.0005618570378167719,0.0097451571525823,0.0005619028938926236,0.0005619452823549664,0.0005618849203064045,0.0005618983060435112,0.018997024354706703,0.0005620117265461419,0.9673244656974708,0.0,0.0,0.7046170775545011,0.004789586439750352,0.0640854870838354,0.0,0.08404523124469943,0.08454086123292069,0.0,0.05792174152495863
