id,departement-nom,titulaire-soutien,german_density
EL194_L_1993_03_067_08_1_PF_01,Bas-Rhin,Front national,0.1288135593220339
EL194_L_1993_03_067_08_1_PF_02,Bas-Rhin,Union pour la démocratie française,0.11940298507462686
EL194_L_1993_03_067_08_1_PF_03,Bas-Rhin,Rassemblement pour la République,0.12792792792792793
EL194_L_1993_03_067_08_1_PF_04,Bas-Rhin,Génération écologie;Verts,0.12213225371120108
EL194_L_1993_03_067_08_1_PF_05,Bas-Rhin,non mentionné,0.12814645308924486
EL194_L_1993_03_067_09_1_PF_01,Bas-Rhin,Génération écologie;Verts,0.10730804810360776
EL194_L_1993_03_067_09_1_PF_02,Bas-Rhin,Union du peuple alsacien,0.14964539007092198
EL194_L_1993_03_067_09_1_PF_03,Bas-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.12059158134243458
EL194_L_1993_03_067_09_1_PF_04,Bas-Rhin,Front national,0.12740989103101424
EL194_L_1993_03_068_01_1_PF_01,Haut-Rhin,Parti socialiste,0.13333333333333333
EL194_L_1993_03_068_01_1_PF_02,Haut-Rhin,Génération écologie;Verts;Solidarités écologie,0.13439635535307518
EL194_L_1993_03_068_01_1_PF_03,Haut-Rhin,Rassemblement pour la République,0.10277777777777777
EL194_L_1993_03_068_01_1_PF_04,Haut-Rhin,Union pour la démocratie française,0.13854595336076816
EL194_L_1993_03_068_02_1_PF_01,Haut-Rhin,Parti socialiste,0.13435237329042637
EL194_L_1993_03_068_02_1_PF_02,Haut-Rhin,indépendant,0.14157303370786517
EL194_L_1993_03_068_02_1_PF_03,Haut-Rhin,Centre national des indépendants et paysans;Démocratie chrétienne française,0.14209591474245115
EL194_L_1993_03_068_02_1_PF_04,Haut-Rhin,Mouvement des démocrates,0.1461038961038961
EL194_L_1993_03_068_03_1_PF_01,Haut-Rhin,non mentionné,0.1031055900621118
EL194_L_1993_03_068_03_1_PF_02,Haut-Rhin,Génération écologie;Verts;Solidarités écologie,0.1462857142857143
EL194_L_1993_03_068_03_1_PF_03,Haut-Rhin,Rassemblement pour la République;Union pour la démocratie française,0.13136288998357964
EL194_L_1993_03_068_04_1_PF_01,Haut-Rhin,Front national,0.1246928746928747
EL194_L_1993_03_068_04_1_PF_02,Haut-Rhin,indépendant,0.10175438596491228
EL194_L_1993_03_068_04_1_PF_03,Haut-Rhin,Génération écologie;Verts;Solidarités écologie,0.15377697841726617
EL194_L_1993_03_068_04_1_PF_04,Haut-Rhin,non mentionné,0.11667723525681674
EL194_L_1993_03_068_04_1_PF_05,Haut-Rhin,Alsace d'abord,0.13371721049264235
EL194_L_1993_03_068_04_1_PF_06,Haut-Rhin,Centre national des indépendants et paysans;Démocratie chrétienne française,0.10497237569060773
EL194_L_1993_03_068_05_1_PF_01,Haut-Rhin,Front national,0.1308411214953271
EL194_L_1993_03_068_05_1_PF_02,Haut-Rhin,non mentionné,0.13138686131386862
EL194_L_1993_03_068_05_1_PF_03,Haut-Rhin,Génération écologie;Verts;Solidarités écologie,0.14475743348982786
EL194_L_1993_03_068_05_1_PF_04,Haut-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.14003944773175542
EL194_L_1993_03_068_05_1_PF_05,Haut-Rhin,non mentionné,0.12318220701454234
EL194_L_1993_03_068_06_1_PF_03,Haut-Rhin,non mentionné,0.12196467991169978
EL194_L_1993_03_068_06_1_PF_04,Haut-Rhin,Génération écologie;Verts;Solidarités écologie,0.13948256467941508
EL194_L_1993_03_068_06_1_PF_05,Haut-Rhin,non mentionné,0.1275579809004093
EL194_L_1993_03_068_07_1_PF_01,Haut-Rhin,Parti socialiste,0.12876254180602006
EL194_L_1993_03_068_07_1_PF_02,Haut-Rhin,Génération écologie;Verts;Solidarités écologie,0.13861386138613863
EL194_L_1993_03_068_07_1_PF_03,Haut-Rhin,Front national,0.1433915211970075
EL194_L_1993_03_068_07_1_PF_04,Haut-Rhin,Rassemblement pour la République;Union pour la démocratie française,0.12226066897347174
